Fund Manager,APIR,Name,Performance Fee,Management Fee,Admin Fee,Buy/Sell Spread,NAV,Performance,Asset Allocation,Ranges,Top Holdings,Bottom Holdings,Class Size,Fund Sizr,Strategy Size
novaport,HOW0027AU,Not Currently Available,0.22,1.50,Not Currently Available,+0.30% / -0.30%,to 10,"{""0"": {""0"": ""Management fee "", ""1"": ""3.00% p.a. of the net asset value ""}, ""1"": {""0"": ""(currently charged at "", ""1"": ""of the Fund ""}, ""2"": {""0"": ""1.50% p.a.) "", ""1"": null}, ""3"": {""0"": ""Withdrawal fee "", ""1"": ""5.00% p.a. of the withdrawal ""}}","{""0"": {""0"": ""Strategic asset "", ""1"": ""Asset classMin (%)Max (%) ""}, ""1"": {""0"": ""allocation ranges "", ""1"": null}, ""2"": {""0"": null, ""1"": ""100 ""}, ""3"": {""0"": null, ""1"": ""20 ""}}",Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,of 10,Not Currently Available
dimensionalfundadvisors,DFA0003AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
dimensionalfundadvisors,DFA0036AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
dimensionalfundadvisors,DFA0103AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
dimensionalfundadvisors,DFA0104AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
dimensionalfundadvisors,DFA2068AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
dimensionalfundadvisors,DFA0101AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
dimensionalfundadvisors,DFA0107AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
dimensionalfundadvisors,DFA0108AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
dimensionalfundadvisors,DFA0642AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
dimensionalfundadvisors,DFA0028AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
dimensionalfundadvisors,DFA0004AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
dimensionalfundadvisors,DFA0105AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
dimensionalfundadvisors,DFA0005AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
dimensionalfundadvisors,DFA0106AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
dimensionalfundadvisors,DFA0041AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
dimensionalfundadvisors,DFA0102AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
dimensionalfundadvisors,DFA0100AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
dimensionalfundadvisors,DFA0033AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
dimensionalfundadvisors,DFA0035AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
dimensionalfundadvisors,DFA0002AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
dimensionalfundadvisors,DFA0009AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
dimensionalfundadvisors,DFA0029AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
pendal,BTA7229AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
pendal,BTA0055AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
pendal,RFA0064AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
pendal,RFA0818AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
pendal,BTA0806AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
pendal,RFA0031AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
pendal,RFA0821AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
pendal,BTA0056AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
pendal,BTA0503AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
pendal,BTA0321AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
pendal,BTA8657AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
pendal,RFA0100AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
pendal,WFS0005AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
pendal,RFA0032AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
pendal,RFA0059AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
pendal,BTA0419AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
pendal,RFA0051AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
pendal,BTA0111AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
pendal,RFA0025AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
pendal,RFA0103AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
pendal,WFS0245AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
pendal,RFA0061AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
pendal,BTA0313AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
pendal,RFA0817AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
pendal,BTA0061AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
pendal,BTA0441AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
pendal,WFS0377AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
pendal,RFA0819AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
pendal,BTA0459AU,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available,Not Currently Available
