Offering,hesta Conservative,hesta Eco,hesta Balanced Growth,hesta Indexed Balanced Growth,hesta Cash and Term Deposits,hesta Property and Infrastructure,hesta Diversified Bonds,hesta International Shares,hesta Australian Shares,hesta Core Pool ,hesta Shares Plus ,hesta Cash ,hesta Global Bonds ,hesta Property ,hesta Infrastructure ,hesta International Shares ,hesta Australian Shares ,hesta Private Equity ,hesta High Growth,aware Conservative,aware Growth,aware Growth AVG,aware High Growth AVG,aware Diversified Socially Responsible Investment,aware Diversified Socially Responsible Investment AVG,aware Balanced Growth,aware Balanced Growth AVG,aware Cash,aware Cash AVG,aware Australian Equities,aware Australian Equities AVG,aware Australian Equities Socially Responsible Investment,aware Australian Equities Socially Responsible Investment AVG,aware International Equities,aware International Equities AVG,aware Property,aware Property AVG,aware Australian Fixed Interest,aware Australian Fixed Interest AVG,aware International Fixed Interest,aware International Fixed Interest AVG,aware Conservative Growth,aware Conservative Growth AVG,telstra Growth,telstra Balanced,telstra Defensive Growth,telstra Conservative,telstra International Shares,telstra Australian Shares,telstra Property,telstra Fixed Interest,telstra Cash,telstra Diversified Income
2005-07,,,,,,,,,,,,,,,,,,,,2.7750472,1.9938464,,,,,1.4365666,,0.3266972,,,,,,,,,,,,,,0.8826479,,,,,,,,,,,
2005-08,,,,,,,,,,,,,,,,,,,,1.1914176,0.5224796,,,,,0.5614703,,0.4814056,,,,,,,,,,,,,,0.5967521,,,,,,,,,,,
2005-09,,,,,,,,,,,,,,,,,,,,3.5510514,3.2649437,,,,,2.3644861,,0.3280794,,,,,,,,,,,,,,1.4995052,,,,,,,,,,,
2005-10,,,,,,,,,,,,,,,,,,,,-2.467129,-2.5674283,,,,,-1.8639081,,0.3445022,,,,,,,,,,,,,,-1.1733891,,,,,,,,,,,
2005-11,,,,,,,,,,,,,,,,,,,,4.8630112,4.3371932,,,,,3.2791501,,0.5252154,,,,,,,,,,,,,,2.2014671,,,,,,,,,,,
2005-12,,,,,,,,,,,,,,,,,,,,2.176118,2.0521099,,,,,1.6178571,,0.4014242,,,,,,,,,,,,,,1.1931127,,,,,,,,,,,
2006-01,,,,,,,,,,,,,,,,,,,,1.0113306,1.6136793,,,,,1.2031234,,0.4101429,,,,,,,,,,,,,,0.7932795,,,,,,,,,,,
2006-02,,,,,,,,,,,,,,,,,,,,2.1206597,0.7448181,,,,,0.674344,,0.3766933,,,,,,,,,,,,,,0.5821906,,,,,,,,,,,
2006-03,,,,,,,,,,,,,,,,,,,,3.976119,3.0474323,,,,,2.2280669,,0.427266,,,,,,,,,,,,,,1.3746851,,,,,,,,,,,
2006-04,,,,,,,,,,,,,,,,,,,,0.9581596,0.7396275,,,,,0.4076301,,0.2577495,,,,,,,,,,,,,,0.1609937,,,,,,,,,,,
2006-05,,,,,,,,,,,,,,,,,,,,-3.8307897,-1.8307156,,,,,-1.1844662,,0.3896433,,,,,,,,,,,,,,-0.5103492,,,,,,,,,,,
2006-06,,,,,,,,,,,,,,,,,,,,0.3535323,0.4113657,,,,,0.3935471,,0.4092129,,,,,,,,,,,,,,0.3712994,,,,,,,,,,,
2006-07,,,,,,,,,,,,,,,,,,,,-0.7239486,-1.057943,,,,,-0.6625886,,0.2986602,,,,,,,,,,,,,,-0.2546238,,,,,,,,,,,
2006-08,,,,,,,,,,,,,,,,,,,,2.1419237,1.638667,,,,,1.3843613,,0.4984085,,,,,,,,,,,,,,1.120886,,,,,,,,,,,
2006-09,,,,,,,,,,,,,,,,,,,,1.6846748,1.1038402,,,,,0.9922161,,0.4285674,,-2.5,,,,-1.4597,,-1.9286,,0.3828,,0.3726,,0.87585,,,,,,,,,,,
2006-10,,,,,,,,,,,,,,,,,,,,2.9791478,2.3707599,,,,,1.7261826,,0.449383,,0.97,,,,-0.0110389,,-0.5612752,,0.1016893,,0.4927359,,1.0779707,,,,,,,,,,,
2006-11,,,,,,,,,,,,,,,,,,,,0.1135289,0.3580028,,,,,0.472418,,0.4728085,,0.7853734,,,,-0.9610788,,4.3564054,,0.9399459,,0.9050294,,0.6084378,,,,,,,,,,,
2006-12,,,,,,,,,,,,,,,,,,,,3.4354702,2.6440142,,,,,1.8903456,,0.4296805,,4.4163125,,,,3.6782833,,2.1950043,,-0.439617,,-0.2903259,,1.1012428,,,,,,,,,,,
2007-01,,,,,,,,,,,,,,,,,,,,1.4456252,1.2686415,,,,,1.0023125,,0.4919987,,1.8466869,,,,1.0157513,,4.2073682,,0.4806747,,-0.2505681,,0.7343757,,,,,,,,,,,
2007-02,,,,,,,,,,,,,,,,,,,,2.7953022,2.3697299,,,,,1.8556774,,0.4135004,,5.191628,,,,1.1695634,,1.7393219,,0.6361786,,1.0268843,,1.3274897,,,,,,,,,,,
2007-03,,,,,,,,,,,,,,,,,,,,-1.8384654,-1.377378,,,,,-0.9062254,,0.4230146,,-0.9414229,,,,-3.0768002,,-4.6438594,,0.139339,,0.3305077,,-0.3979882,,,,,,,,,,,
2007-04,,,,,,,,,,,,,,,,,,,,3.2750012,2.6424525,,,,,1.9629667,,0.4496206,,4.7166408,,,,2.845153,,3.7724574,,0.4414802,,-0.1177268,,1.2866644,,,,,,,,,,,
2007-05,,,,,,,,,,,,,,,,,,,,1.5508861,1.1860985,,,,,0.8832041,,0.4883483,,1.7126066,,,,2.0350892,,-0.4437335,,0.0101055,,-0.4760823,,0.576825,,,,,,,,,,,
2007-06,,,,,,,,,,,,,,,,,,,,-0.9550853,-0.6553652,,,,,-0.4423234,,0.4579482,,-0.1447339,,,,-2.4366029,,0.0147921,,-0.2601655,,-0.3210137,,-0.2022804,,,,,,,,,,,
2007-07,,,,,,,,,,,,,,,,,,,,-2.3410436,-1.5870729,,,,,-0.9654513,,0.3928954,,-2.6394066,,,,-3.4944315,,-0.8269059,,0.5624083,,1.3877769,,-0.2963668,,,,,,,,,,,
2007-08,,,,,,,,,,,,,,,,,,,,1.3595685,1.1993854,,,,,1.0422207,,0.4816748,,1.0903155,,,,1.9762036,,2.7170632,,0.8280379,,1.0212349,,0.9115759,,,,,,,,,,,
2007-09,,,,,,,,,,,,,,,,,,,,2.9075578,2.3851062,,,,,1.7097986,,0.4419816,,6.1482888,,,,-0.1327399,,2.2123248,,-0.229706,,-0.0615312,,1.1387042,,,,,,,,,,,
2007-10,,,,,,,,,,,,,,,,,,,,1.7256045,1.5393066,,,,,1.2585122,,0.5228314,,4.5861974,,,,-0.5453423,,0.6061147,,0.141855,,1.1970153,,1.0126025,,,,,,,,,,,
2007-11,,,,,,,,,,,,,,,,,,,,-2.9104937,-2.1980743,,,,,-1.3640835,,0.4758131,,-5.1070162,,,,-1.569556,,-3.899355,,0.182626,,0.9514508,,-0.5731067,,,,,,,,,,,
2007-12,,,,,,,,,,,,,,,,,,,,0.5957089,0.4698205,,,,,0.3813149,,0.4715387,,0.1153958,,,,0.9446289,,-1.8235419,,-0.4186635,,-0.1203453,,0.3063756,,,,,,,,,,,
2008-01,,,,,,,,,,,,,,,,,,,,-6.8862969,-4.9279802,,,,,-3.1164537,,0.5455349,,-8.750335,,,,-8.3110863,,-4.6854684,,1.4000496,,2.1482372,,-1.3149848,,,,,,,,,,,
2008-02,,,,,,,,,,,,,,,,,,,,-0.0599876,-0.0342837,,,,,-0.0617703,,0.4767829,,0.8663499,,,,-1.2134465,,-0.9502921,,-1.2563333,,-0.2945192,,-0.0787287,,,,,,,,,,,
2008-03,,,,,,,,,,,,,,,,,,,,-3.4937996,-2.5390994,,,,,-1.55693,,0.5035558,,-5.6409252,,,,-2.4388407,,-2.0721076,,1.7590839,,0.8625066,,-0.5800781,,,,,,,,,,,
2008-04,,,,,,,,,,,,,,,,,,,,3.6345975,2.8132992,,,,,2.0575406,,0.5741558,,4.1433817,,,,4.1508664,,1.7154615,,-0.0242614,,-0.5963475,,1.3061952,,,,,,,,,,,
2008-05,,,,,,,,,,,,,,,,,,,,0.011919,0.1170609,,,,,0.1576001,,0.5474675,,1.4819448,,,,-1.2566414,,-1.6632791,,0.1418779,,-0.0392084,,0.2040159,,,,,,,,,,,
2008-06,,,,,,,,,,,,,,,,,,,,-5.1964539,-3.8928847,,,,,-2.6956041,,0.5794796,,-6.2983609,,,,-6.0380932,,-3.5145129,,0.3693138,,-0.1959328,,-1.4553058,,,,,,,,,,,
2008-07,,,,,,,,,,,,,,,,,,,,-3.6992707,-2.6953343,,,,,-1.712512,,0.503206,,-6.4215244,,,,-2.4728969,,-2.1784477,,1.1376091,,0.5352165,,-0.7526459,,,,,,,,,,,
2008-08,,,,,,,,,,,,,,,,,,,,3.903321,3.207929,,,,,2.6893392,,0.5350332,,3.6853896,,,,5.5110231,,1.6963752,,2.3900398,,1.9459611,,2.1414019,,,,,,,,,,,
2008-09,,,,,,,,,,,,,,,,,,,,-2.3078216,-1.6442779,,,,,-1.1568755,,0.4818366,,-0.8958761,,,,-4.888849,,1.0412492,,0.4138865,,-1.0443198,,-0.6105519,,,,,,,,,,,
2008-10,,,,,,,,,,,,,,,,,,,,-11.5127114,-8.6546967,,,,,-5.7952265,,0.6128493,,-16.3624047,,,,-11.8730371,,-11.8711502,,2.2993991,,-0.2650978,,-2.8423462,,,,,,,,,,,
2008-11,,,,,,,,,,,,,,,,,,,,-2.2304378,-1.5253411,,,,,-0.7279475,,0.4507505,,-5.8470489,,,,-1.748844,,1.555028,,2.2780075,,1.1891598,,0.0238317,,,,,,,,,,,
2008-12,,,,,,,,,,,,,,,,,,,,0.2869624,0.5053969,,,,,0.6571226,,0.3832994,,2.4556692,,,,-2.2747018,,-1.8423503,,1.0263982,,2.247464,,0.8257011,,,,,,,,,,,
2009-01,,,,,,,,,,,,,,,,,,,,-1.4918625,-1.2154703,,,,,-0.7756449,,0.3172729,,-2.9361821,,,,0.9311698,,-5.1379861,,1.0905163,,-0.4610407,,-0.4004434,,,,,,,,,,,
2009-02,,,,,,,,,,,,,,,,,,,,-4.2633542,-3.1940446,,,,,-2.2391068,,0.2587062,,-2.9822938,,,,-7.6440506,,-3.7737433,,-0.5304792,,0.1669079,,-1.2345825,,,,,,,,,,,
2009-03,,,,,,,,,,,,,,,,,,,,5.1574198,4.0545676,,,,,2.8973388,,0.216191,,9.9848484,,,,2.0895496,,2.0870841,,-0.5191177,,0.0238298,,1.7537476,,,,,,,,,,,
2009-04,,,,,,,,,,,,,,,,,,,,1.3493576,1.0658707,,,,,0.8482389,,0.2399849,,1.1731785,,,,3.0152799,,-1.2439068,,0.5417971,,0.6101462,,0.6131622,,,,,,,,,,,
2009-05,,,,,,,,,,,,,,,,,,,,1.8492097,1.4601812,,,,,0.9671642,,0.1980141,,2.3977093,,-2.14,,1.1361384,,4.9975159,,-1.2027794,,-0.5115502,,0.5183196,,,,,,,,,,,
