Offering,1993-01,1993-02,1993-03,1993-04,1993-05,1993-06,1993-07,1993-08,1993-09,1993-10,1993-11,1993-12,1994-01,1994-02,1994-03,1994-04,1994-05,1994-06,1994-07,1994-08,1994-09,1994-10,1994-11,1994-12,1995-01,1995-02,1995-03,1995-04,1995-05,1995-06,1995-07,1995-08,1995-09,1995-10,1995-11,1995-12,1996-01,1996-02,1996-03,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06
aware Australian Fixed Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3828,0.10168930000000001,0.9399459000000001,-0.439617,0.4806747,0.6361786,0.139339,0.4414802,0.0101055,-0.2601655,0.5624083,0.8280378999999999,-0.22970600000000002,0.141855,0.18262599999999998,-0.4186635,1.4000496,-1.2563332999999999,1.7590839,-0.0242614,0.1418779,0.36931379999999997,1.1376091,2.3900398,0.41388650000000005,2.2993991,2.2780075,1.0263982,1.0905163,-0.5304792,-0.5191177,0.5417970999999999,-1.2027794,-0.1557026,0.2890526,1.0211975,0.8421516,-1.0676174999999999,1.3927985,-0.4049551,1.2572965999999999,0.3863713,-0.29893430000000004,0.6172735,1.3124846000000001,1.2879588000000002,0.05043890000000001,1.5841072,-0.8115424,0.2514619,-0.44311359999999994,-0.1109673,1.1029471000000002,0.2399981,0.8675495,0.297023,1.1143197,0.6581375,0.9391962,2.0837187999999998,0.8314881,-0.3810831,1.2017557,0.22035039999999997,-0.015789400000000002,0.5729576000000001,0.6953828,1.3390661,2.0325911,0.7852,0.6205263,0.0982335,1.1768078,0.3687488,-0.0579698,0.3229362,-0.052610500000000004,0.7189087000000001,0.8984652,-0.018749500000000002,-1.1340831,1.0446781,-0.0513866,0.2765225,0.43806280000000003,-0.0666101,0.3417304,0.8334549,0.3490298,0.4192831,0.8781216,1.0720099,0.8655714,0.3408248,0.6420755,-0.2607955,0.8190715,0.8022675,1.4080226,1.0798066,0.7325185,0.5085375,-0.3830289,-0.6322257,-0.3041523,1.003968,0.48523530000000004,0.0477116,0.6695084,-0.7468362000000001,0.56052,0.4779131,1.0154927,-0.4900229,0.21641109999999997,1.5784236,0.9889544,0.29454759999999997,0.7735748,-0.1892857,-1.0895284,-1.2612598,-0.1603076,0.5078893999999999,0.1629604,0.3870924,0.6664207999999999,1.0135483,-0.7739747,0.22107899999999997,0.0012000000000000001,-0.2477107,0.9532952000000001,0.7502417,-0.45433219999999996,-0.2387345,0.25734619999999997,0.728222,-0.29315019999999997,0.5981411,0.3889549,0.1417042,0.6920937,-0.38540589999999997,0.42361430000000005,0.23008260000000003,1.2808441,0.5519538,0.8117813999999999,1.5584057,0.2615708,1.4796561,0.8902207000000001,0.8305440000000001,1.321956,-0.42184199999999994,-0.3864668,0.7029527,-1.4258399,2.0259237999999997,0.7410453,-0.1268507,-0.1058766,0.2606102,0.3149397,0.3302018,-0.3735833,0.9506017,0.2446878,-0.086,-0.2184057,-0.37128174505879996,-3.08551655907447,0.70281314682436,,,
aware Australian Fixed Interest AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aware International Fixed Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37260000000000004,0.4927359,0.9050294000000001,-0.2903259,-0.2505681,1.0268842999999999,0.3305077,-0.11772679999999999,-0.4760823,-0.3210137,1.3877769,1.0212349,-0.0615312,1.1970153000000001,0.9514507999999999,-0.12034529999999999,2.1482372,-0.29451920000000004,0.8625066000000001,-0.5963475,-0.039208400000000004,-0.19593280000000002,0.5352165,1.9459611,-1.0443198,-0.2650978,1.1891597999999999,2.247464,-0.4610407,0.1669079,0.023829799999999998,0.6101462,-0.5115502,1.2960594,0.6989204,1.451673,0.8114555000000001,0.0334958,0.8782862,-0.7095856,1.0194518,0.6018344999999999,0.4396337,0.30286240000000003,1.4662593,1.4226596,0.436028,2.1245783,0.3194392,-0.0995855,-0.8156673999999999,-0.0591437,-0.1762651,0.4512684,0.3168691,0.5331855,1.5521132,0.0559997,0.6875456,1.8880890000000001,0.8805092000000001,0.1324362,0.24870740000000002,1.5882548,0.8093266,0.6614312,0.39015099999999997,0.49634520000000004,0.44345260000000003,0.2785164,0.6136625,0.42572240000000006,0.3980467,0.36348790000000003,0.5857815,0.364779,0.1503158,0.3282662,0.9951262000000001,0.1396802,-0.6058195,0.1805683,0.0126354,0.3734837,0.5300756999999999,0.2479729,0.052860899999999995,0.7804171000000001,0.4065362,0.2721939,0.42766469999999995,0.6985927000000001,0.3631811,0.6438648,0.9652498,-0.370751,0.8846356,0.9092746,0.7934525,1.8056992,0.0858059,0.6152297999999999,0.22018749999999998,-0.9162609,-0.8323596000000001,0.7561923,0.20269659999999998,0.5517864,0.7597813999999999,-0.12471850000000001,-0.19520010000000002,1.0339125,1.2765271,0.8512097999999999,0.1164357,0.5957944,1.7710785999999998,0.5451736,0.25730990000000004,0.046,-0.8657511,-1.6426166,0.3552882,-0.1622517,0.6748152000000001,-0.0767,0.6768269,0.6578790999999999,-0.1289049,0.2422035,0.8620829,-0.3895451,0.34915189999999996,0.14216910000000002,0.17181,-0.6436810000000001,-0.2694602,0.7141018,-0.3531493,0.26595820000000003,0.0863,0.013999999999999999,0.2692673,-0.3571103,-0.2600242,0.3360148,1.1902363,0.8644649000000001,0.06530000000000001,1.5392913,0.0386,1.1887155,1.1778504,0.6397334,1.9961243,-0.5329676,-0.22943550000000001,-0.2150332,-0.29617570000000004,1.7014141999999999,1.0084315,-1.8133766,1.3517932,0.372435,0.5946152,1.0829991,-0.7055224,0.3579293,0.00877,0.5746842,0.1484658,-0.61991797883652,-1.5654230366364,-0.37663116696659,,,
aware International Fixed Interest AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aware Conservative Growth,0.049,0.4590252,0.5438147,0.8931735999999999,0.9461943,0.3663189,2.3216876,2.895813,0.43229239999999997,1.6220865,-0.3881443,0.0,1.8282696,-2.0914136,-1.2003853,-0.1714765,-0.48851340000000004,-2.5320082,0.5057042,1.345265,-1.4246284999999999,0.3052964,-1.2440756000000002,1.1684807,-0.4103357,1.7071383,0.9275785999999999,2.5700332,2.9534745,0.7831691999999999,-0.0411621,1.2270687,1.1762854999999999,0.0419443,2.208967,1.0308544,1.3995288,-0.5869614000000001,-0.1506256,1.5501403,-0.6727063,0.7888773,0.4712182,2.9452247000000003,0.9192764000000001,1.5348661,1.6469466,0.4053742,0.48477449999999994,1.0142671,-0.9610285,0.8500133,2.6532258,2.8577348,1.6617302999999999,-0.9013561,2.8864617,-1.8542803,0.8946932,1.9085148,0.4461906,1.6223745,1.5011373,0.8150896,0.5586312,-0.34968109999999997,0.9727144999999999,-1.12598,1.7083277000000001,0.8451066,1.2877239,1.0814739,0.3311759,0.0953742,0.7141852,1.0624003,-1.7780154,0.6302038,1.3995637,0.20307379999999997,-0.6598998,-1.1101801999999998,2.5426772,0.3848848,-0.9002938,1.2294805,1.3987177,0.17995629999999999,0.34173139999999996,1.3810768,0.9571135,1.1158477,-0.271823,0.4253201,0.8472517,0.891083,1.1553834,-0.4442589,-0.123274,0.5797367,0.9036690000000001,0.7362387,-0.44454079999999996,0.8062128999999999,-2.2826693,2.8054651,0.3313332,0.42405109999999996,-0.26317630000000003,0.3700048,-0.0299822,0.2824007,0.2491897,-0.3242026,-0.920934,1.3761214000000002,-0.36247100000000004,0.46123509999999995,1.1356065,0.5326352000000001,-0.3319868,-0.3208691,0.8627071,1.3020872,1.6561958,0.1467686,-0.11218499999999999,0.4475784,0.4779901,0.690635,0.1736403,1.4566953,0.5546192,0.7749427,1.1319681,0.2469694,0.271477,1.1713963,-0.1411205,1.2059564999999999,0.9880819000000001,0.7809294999999999,1.4792232,1.4075123,0.3625003,0.1561873,0.2108752,0.23655400000000001,1.3224032000000001,1.4595909,0.8826479,0.5967521,1.4995052,-1.1733891,2.2014671,1.1931127,0.7932794999999999,0.5821906,1.3746851,0.16099370000000002,-0.5103492000000001,0.3712994,-0.2546238,1.1208859999999998,0.87585,1.0779706999999998,0.6084377999999999,1.1012427999999999,0.7343757000000001,1.3274897,-0.39798819999999996,1.2866644,0.576825,-0.2022804,-0.2963668,0.9115758999999999,1.1387042,1.0126025,-0.5731067000000001,0.30637559999999997,-1.3149848,-0.0787287,-0.5800780999999999,1.3061952,0.20401590000000003,-1.4553058,-0.7526459,2.1414019,-0.6105519,-2.8423462,0.023831699999999997,0.8257011,-0.4004434,-1.2345825,1.7537476,0.6131622,0.5183196,0.4229571,1.3527248,2.0853048,1.0918008,-0.5335688,0.8720363,0.6674215,-0.3049784,0.381119,1.3740018999999999,0.0184449,-0.8006135,0.0547452,1.2175104,-0.0463663,1.1010852,0.3676246,0.00693,0.7359689,1.0810357,0.23334710000000003,0.4638957,0.5779679999999999,-0.0329787,0.23071540000000001,-0.139868,-0.7798765,0.0598853,1.2086856,-0.49107409999999996,0.3792413,0.9960104,0.7488811,1.0241597999999998,0.3418043,-0.20709460000000002,-0.0457783,0.7807838,0.9579653,0.6925821000000001,0.5093183,0.1150887,1.0329888,1.212456,0.6871753,1.246478,0.8538168,-0.9856782,1.9480856000000002,0.34664320000000004,0.917161,0.79475,0.356547,0.6622996,0.0990534,0.8830524,-0.1642275,0.6947829,0.8695369999999999,0.3365071,0.5714699,0.627356,-0.1366765,0.3686943,1.0773628,0.8759988,0.7233951,1.4937776999999999,0.35456730000000003,0.438411,-0.2062416,-0.6174618,0.9668329,-0.4850017,-0.3829555,1.4024039,-0.14544600000000002,0.046603,-0.7997784000000001,0.2920067,0.5925252,0.7754007,1.2136725,-0.0706655,1.4758729,0.32679990000000003,-0.0234,0.0455,0.1598589,0.6408394000000001,0.3276889,0.4791004,0.6930024,0.6421215,0.705351,0.11042529999999999,0.2898363,0.4790852,0.2430861,1.0819078,0.7386495,0.18273989999999998,0.5029704,0.12271249999999999,-0.0371,0.6597065,0.3568226,0.3539256,0.6998215,0.6849805,-0.0762,-0.5662263,0.0519,-0.0451,1.0639948,0.9286970999999999,0.7629875,0.7466229,0.3231163,0.8665871,0.8706302000000001,0.07690000000000001,0.2266909,0.2072862,1.0153953,-0.1427463,1.1247585,-0.7433281,-2.7949373,0.1801654,0.7515372,0.7488661,0.4355045,0.2632634,0.0995,0.12074209999999999,1.0207697,0.2613857,-0.010278458839141358,-0.50580536108081,0.7236825269266,,,
aware Conservative Growth AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
telstra Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.26,3.21,0.29,1.0,1.97,-0.31,0.6,6.11,1.68,0.28,1.68,2.58,,,
telstra Balanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72,2.66,0.35,0.69,1.47,-0.15,0.41,5.03,1.39,0.18,1.24,2.3,,,
telstra Defensive Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,2.04,0.62,0.67,0.54,0.02,0.15,3.12,1.08,-0.05,0.14,1.79,,,
telstra Conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,1.44,0.43,0.38,0.49,0.04,0.15,2.45,0.97,0.06,0.22,1.18,,,
telstra International Shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49,3.3,-0.01,1.99,2.61,-0.35,-1.07,8.31,1.64,-0.46,2.26,3.7,,,
telstra Australian Shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.22,4.29,1.39,0.42,3.26,-2.62,1.55,9.93,1.47,0.32,2.14,2.47,,,
telstra Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,1.43,0.18,-0.29,0.8,0.25,0.09,1.2,3.24,0.23,0.41,0.65,,,
telstra Fixed Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,0.6,0.54,0.83,-0.18,0.39,0.19,0.27,0.23,-0.22,-1.52,0.1,,,
telstra Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.03,0.02,0.03,0.03,0.01,0.01,0.03,0.18,0.06,0.04,0.01,,,
telstra Diversified Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63,2.16,1.51,0.53,0.77,-0.23,0.33,3.31,1.26,0.12,0.39,1.52,,,
