Managed Fund Name,APIR,Fund Managers Name,URL
Vanguard International Property Securities Index Fund VAN0018AU,VAN0018AU,Vanguard,https://www.vanguard.com.au/
Vanguard International Property Securities Index Fund (Hedged) VAN0019AU,VAN0019AU,Vanguard,https://www.vanguard.com.au/
Vanguard Global Infrastructure Fund VAN0023AU,VAN0023AU,Vanguard,https://www.vanguard.com.au/
Vanguard Global Infrastructure Fund (Hedged) VAN0024AU,VAN0024AU,Vanguard,https://www.vanguard.com.au/
Vanguard Australian Government Bond Index Fund VAN0025AU,VAN0025AU,Vanguard,https://www.vanguard.com.au/
Vanguard Diversified Bond Index Fund VAN0042AU,VAN0042AU,Vanguard,https://www.vanguard.com.au/
Vanguard Cash Plus Fund VAN0102AU,VAN0102AU,Vanguard,https://www.vanguard.com.au/
Vanguard International Fixed Interest Index Fund (Hedged) VAN0103AU,VAN0103AU,Vanguard,https://www.vanguard.com.au/
Vanguard Australian Shares High Yield Fund VAN0104AU,VAN0104AU,Vanguard,https://www.vanguard.com.au/
Vanguard International Shares Index Fund (Hedged) VAN0105AU,VAN0105AU,Vanguard,https://www.vanguard.com.au/
Vanguard Balanced Index Fund VAN0108AU,VAN0108AU,Vanguard,https://www.vanguard.com.au/
Vanguard Conservative Index Fund VAN0109AU,VAN0109AU,Vanguard,https://www.vanguard.com.au/
Vanguard Growth Index Fund VAN0110AU,VAN0110AU,Vanguard,https://www.vanguard.com.au/
Vanguard High Growth Index Fund VAN0111AU,VAN0111AU,Vanguard,https://www.vanguard.com.au/
Resolution Capital Global Property Securities Fund WHT0015AU,WHT0015AU,Resolution Capital,https://rescap.com/
Plato Australian Shares Income Fund WHT0039AU,WHT0039AU,Plato,https://plato.com.au/
Firetrail Australian High Conviction Fund Class A WHT3810AU,WHT3810AU,Fire Trail,https://firetrail.com/
Solaris Australian Equity Long Short Fund WHT3859AU,WHT3859AU,Solaris,https://solariswealth.com.au/
Hyperion Global Growth Companies Fund Class B WHT8435AU,WHT8435AU,Hyperion,https://www.hyperion.com.au/
Zurich Investments Australian Property Securities Fund ZUR0064AU,ZUR0064AU,Zurich Investments,https://www.zurich.com.au/
Zurich Investments Global Growth Share Fund ZUR0580AU,ZUR0580AU,Zurich Investments,https://www.zurich.com.au/
Zurich Investments Unhedged Global Growth Share Fund ZUR0581AU,ZUR0581AU,Zurich Investments,https://www.zurich.com.au/
