Managed Fund Name,APIR,Fund Managers Name,URL,,,,,,,,,,,,,
Perpetual Bentham Global Income ,PER0467AU,Perpetual,www.perpetual.com.au,,,,,,,,,,,,,
Perpetual Cash Management ,PER0001AU,Perpetual,www.perpetual.com.au,,,,,,,,,,,,,
Perpetual Credit Income ,PER0263AU,Perpetual,www.perpetual.com.au,,,,,,,,,,,,,
Perpetual Diversified Income ,PER0260AU,Perpetual,www.perpetual.com.au,,,,,,,,,,,,,
Perpetual Diversified Real Return W ,PER0556AU,Perpetual,www.perpetual.com.au,,,,,,,,,,,,,
Perpetual Ethical SRI Credit A ,PER1744AU,Perpetual,www.perpetual.com.au,,,,,,,,,,,,,
Perpetual Exact Market Return ,PER0258AU,Perpetual,www.perpetual.com.au,,,,,,,,,,,,,
Perpetual Global Share A ,PER0733AU,Perpetual,www.perpetual.com.au,,,,,,,,,,,,,
Perpetual High Grade Floating Rate R ,PER0562AU,Perpetual,www.perpetual.com.au,,,,,,,,,,,,,
Perpetual Income Opportunities ,PER0436AU,Perpetual,www.perpetual.com.au,,,,,,,,,,,,,
Perpetual Pure Credit Alpha W ,PER0669AU,Perpetual,www.perpetual.com.au,,,,,,,,,,,,,
Perpetual Pure Equity Alpha ,PER0668AU,Perpetual,www.perpetual.com.au,,,,,,,,,,,,,
Perpetual Pure Microcap ,PER0704AU,Perpetual,www.perpetual.com.au,,,,,,,,,,,,,
Perpetual Pure Value Share ,PER0439AU,Perpetual,www.perpetual.com.au,,,,,,,,,,,,,
Perpetual WealthFocus Investment Advantage Aspect Diversified Futures ,PER0700AU,Perpetual,www.perpetual.com.au,,,,,,,,,,,,,
Perpetual WealthFocus Investment Advantage Perpetual Diversified Real Return ,PER0739AU,Perpetual,www.perpetual.com.au,,,,,,,,,,,,,
Perpetual WealthFocus Investment Advantage Perpetual Dynamic Fixed Income ,PER0738AU,Perpetual,www.perpetual.com.au,,,,,,,,,,,,,
Perpetual WF Investment Advantage AMP Capital Global Property Securities ,PER0542AU,Perpetual,www.perpetual.com.au,,,,,,,,,,,,,
